P0005	ACEITE AGRICOLA XLT	18
P0006	ADERAL X250ML	1
P0008	AGROSTEMIN X500ML	1
P0009	AGROSTEMIN XLT	104
P0010	AMINACRYS XLT	2117
P0011	AMISTAR TOP X250ML	2474
P0012	ANTRACOL XKG	1156
P0013	AQUACID XLT	72
P0014	BARRACUDA XLT	1
P0015	BAYFOLAN 11-8-6 XLT	2461
P0016	BAYFOLAN AKTIVATOR XLT	8871
P0017	BAZUKA XLT	4245
P0018	BIOZYME X250ML	431
P0019	BIOZYME XLT	421
P0020	BRONCO XLT	8
P0021	CAMPAL XLT	598
P0022	CAPORAL X500ML	604
P0023	CAPORAL XLT	4143
P0024	CARBOXY K XLT	29
P0025	CICLON X500ML	1
P0026	CICLON XLT	10
P0027	CYPERKLIN X250ML	1969
P0028	CYPERKLIN X500ML	613
P0029	CYPERKLIN XLT	1173
P0030	CONFIEE XLT	1
P0031	DESTRUCTOR XLT	350
P0032	EMBATE XLT	835
P0033	ENGEO X250ML	68
P0034	ENZIPROM X250ML	33
P0035	ENZIPROM X500ML	18
P0036	ENZIPROM XLT	60
P0037	ESTOQUE X15ML	1
P0038	ESTOQUE X250ML	8
P0039	ETHREL X250ML	32
P0040	FARMEZIN XLT	2
P0041	FERTIL CALCIO BORO XLT	21
P0042	FLORIPHOS XLT	122
P0043	FLOXINA XLT	9
P0044	FOLICUR XLT	52
P0046	FROTHER XLT	2
P0047	FRUIT XLT	2
P0048	FUEGO XLT	9191
P0050	FURADAN X250ML	1637
P0051	FURADAN X500ML	489
P0052	FURADAN XLT	469
P0053	GIB-BEX X250ML	1486
P0054	GIB-BEX XLT	1271
P0055	GLIFOKLIN XLT	453
P0056	GLITEC XLT	32
P0057	GOMAX X250ML	1257
P0058	GRAMOXONE XLT	3514
P0060	GREENZIT GEEL XLT	12
P0061	GREENZIT K XLT	19
P0062	GREENZIT PH X250ML	50
P0063	GREENZIT PH XLT	37
P0064	GREENZIT PHOSHUMIC XLT	61
P0067	GREENZIT SLIDER XLT	1
P0068	HEDONAL XLT	31
P0069	HERBIAMINA XLT	27
P0070	HERBOSATO XLT	55
P0071	HOJA ANCHA XLT	123
P0073	HUMAGIZER XLT	123
P0075	IMIDAMIN XLT	5
P0076	KALLPA 20-20-20 XLT	58
